Período,Año,Mes,Fecha inicio,Fecha Final,Días,Lectura anterior,Lectura Actual,Consumo kWh,Costo Unitario kWh,G,T,PR,R,D,C,Tarifa Subsidio kWh,Subsidio Energía,Aprox. (Energía),Consumo $ (Energía),Subtotal Energía,Tarifa Media (Aseo),Subsidio (Aseo),CRT (Aseo),TTE (Aseo),CB (Aseo),CDT (Aseo),CCS (Aseo),DCS (Aseo),OTROS (Aseo),Total Desglose (Aseo),Costo Fijo (Aseo),Costo Variable (Aseo),Redondeo Fac. Ante. (Aseo),Aprox. Decenas (Aseo),Valor Total Aseo (Aseo),Impuesto (Alumbrado),Redondeo Fac. Ante. (Alumbrado),Aprox. Decenas (Alumbrado),Valor Total Alumbrado (Alumbrado),Subtotal Otros,Total,F. Emisión,F. Vencimiento,Observaciones Factura
ENE_2026,2026,ENE,4dic,5ene,32,173,215,42,"$878,91","$284,94","$54,14","$106,29","$24,09","$197,59","$211,86","$397,28","-$16.685,76","-$8,46","$36.914,22",$20.220,"$31.370,16","-$15.685,08","$15.346,73","$0,00","$6.498,95","$4.299,13","$4.405,40","$0,00","$1.688,06","$32.238,27","$7.665,20","$15.685,08","$3,19","-$3,47",$23.350,"$2.214,85","$2,18","$2,97",$2.220,$25.570,$45.790,09/01/2026,20/01/2026,
FEB_2026,2026,FEB,5ene,3feb,29,215,258,43,"$876,02","$288,31","$52,97","$107,00","$25,04","$196,05","$206,64",,"$-16.904,16","$5,30","$37.668,86","$20.770","$31.408,50","$-15.704,25","$15.346,67","$0,00","$6.314,62","$4.298,61","$4.405,40","$0,00","$1.704,94","$32.070,24","$8.794,38","$6.909,87","$3,47","$-2,52","$8.040,00","$2.260,13","$-2,97","$2,84","$2.260,00","$10.300","$31.070",07/02/2026,19/02/2026,
MAR_2026,2026,MAR,03feb,05mar,30,258,292,34,876.02,288.31,52.97,107.00,25.04,196.05,206.64,393.12,-13366.08,1.40,29784.68,16420,35207.02,-17603.51,15040.80,0,8209.11,4289.18,4562.78,0,1795.71,33897.58,9857.96,7745.54,2.52,3.98,17610,1787.08,-2.84,-4.24,1780,19390,35810,09/03/2026,19/03/2026,
